"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Eastern Michigan",68.2313,167,67.307,184,106.312,171,104.696,217,111.892,312,113.944,313,-9.24839,277
"2025","Eastern Washington",67.7775,191,66.9927,206,102.614,262,101.762,267,112.65,326,113.068,305,-11.3055,295
"2025","Elon",65.4469,310,65.3444,292,108.961,118,107.539,159,107.911,222,111.208,261,-3.66976,206
"2025","Evansville",66.8815,240,66.9198,208,97.0866,334,98.6073,318,106.886,193,106.335,157,-7.72764,255
"2025","Fairfield",66.4753,261,66.1178,251,99.9799,312,98.2804,322,110.114,281,114.243,315,-15.9628,334
"2025","Fairleigh Dickinson",68.5815,147,69.2553,72,101.241,291,98.479,320,106.505,184,110.978,257,-12.4993,306
"2025","FIU",69.2647,109,68.4596,115,96.2576,342,96.7264,339,104.013,116,104.373,120,-7.64628,254
"2025","Florida",70.5785,51,69.6546,61,120.969,3,128.807,2,98.2927,21,93.1918,10,35.6154,3
"2025","Florida A&M",68.4621,154,67.2638,190,100.75,299,101.765,266,111.09,298,115.391,329,-13.6264,318
"2025","Florida Atlantic",69.4804,92,68.8797,91,111.023,75,112.731,78,108.826,243,108.5,208,4.23113,114
"2025","Florida Gulf Coast",65.678,302,65.4018,289,109.577,102,107.261,171,106.349,180,109.039,219,-1.77829,179
"2025","Florida St.",70.2895,58,69.6367,62,105.368,189,108.8,140,103.217,101,100.615,67,8.18417,91
"2025","Fordham",70.1996,63,69.5858,63,103.309,248,106.32,193,110.824,293,112.079,279,-5.75869,237
"2025","Fresno St.",70.8473,43,70.6708,31,97.4179,333,100.846,285,110.982,295,108.873,214,-8.02785,262
"2025","Furman",66.2076,276,66.003,260,110.628,81,110.334,107,106.452,182,108.164,201,2.17033,141
"2025","Gardner Webb",70.1472,65,69.1098,80,104.814,206,103.105,237,111.474,305,111.326,263,-8.22097,264
"2025","George Mason",65.1833,322,64.8225,315,105.931,181,106.322,192,96.3023,9,96.6882,30,9.63409,79
"2025","George Washington",67.0292,230,66.8643,211,107.6,145,107.927,149,100.422,47,103.671,104,4.25596,113
"2025","Georgetown",68.2621,164,68.3813,121,104.824,205,108.557,143,100.908,62,99.6043,56,8.95251,86
"2025","Georgia",68.6201,145,66.6308,219,109.718,99,115.24,57,101.976,74,96.7571,32,18.4827,38
"2025","Georgia Southern",69.9412,77,69.5282,65,104.252,223,102.908,243,107.38,207,109.761,233,-6.85302,249
"2025","Georgia St.",69.4548,97,69.0497,85,106.557,167,106.702,182,112.98,332,114.729,319,-8.02632,261
"2025","Georgia Tech",69.0814,119,68.7893,99,104.23,224,107.269,169,104.158,125,101.453,77,5.81597,103
"2025","Gonzaga",70.401,55,70.4217,42,121.219,2,124.706,6,98.2171,20,96.7612,33,27.9448,9
